"Regio's","Woonplaatscode (Code)","Gemeente Naam (Naam)","Code (Code)","Provincie Naam (Naam)","Code (Code)","Landsdeel Naam (Naam)","Code (Code)"
"Aadorp","WP1925","Almelo","GM0141","Overijssel","PV23","Oost-Nederland","LD02"
"Aagtekerke","WP2774","Veere","GM0717","Zeeland","PV29","West-Nederland","LD03"
"Aalden","WP2145","Coevorden","GM0109","Drenthe","PV22","Noord-Nederland","LD01"
"Aalsmeer","WP2571","Aalsmeer","GM0358","Noord-Holland","PV27","West-Nederland","LD03"
"Aalsmeerderbrug","WP1600","Haarlemmermeer","GM0394","Noord-Holland","PV27","West-Nederland","LD03"
"Aalst","WP2626","Zaltbommel","GM0297","Gelderland","PV25","Oost-Nederland","LD02"
"Aalsum","WP3387","Noardeast-Fryslân","GM1970","Fryslân","PV21","Noord-Nederland","LD01"
"Aalten","WP1193","Aalten","GM0197","Gelderland","PV25","Oost-Nederland","LD02"
"Ter Aar","WP2673","Nieuwkoop","GM0569","Zuid-Holland","PV28","West-Nederland","LD03"
"Ter Aard","WP2394","Assen","GM0106","Drenthe","PV22","Noord-Nederland","LD01"
"Aardenburg","WP2961","Sluis","GM1714","Zeeland","PV29","West-Nederland","LD03"
"Aarlanderveen","WP1079","Alphen aan den Rijn","GM0484","Zuid-Holland","PV28","West-Nederland","LD03"
"Aarle-Rixtel","WP1445","Laarbeek","GM1659","Noord-Brabant","PV30","Zuid-Nederland","LD04"
"Aartswoud","WP2788","Opmeer","GM0432","Noord-Holland","PV27","West-Nederland","LD03"
"Abbega","WP2400","Súdwest-Fryslân","GM1900","Fryslân","PV21","Noord-Nederland","LD01"
"Abbekerk","WP3147","Medemblik","GM0420","Noord-Holland","PV27","West-Nederland","LD03"
"Abbenbroek","WP1385","Nissewaard","GM1930","Zuid-Holland","PV28","West-Nederland","LD03"
"Abbenes","WP1608","Haarlemmermeer","GM0394","Noord-Holland","PV27","West-Nederland","LD03"
"Abcoude","WP1332","De Ronde Venen","GM0736","Utrecht","PV26","West-Nederland","LD03"
"Achlum","WP1364","Waadhoeke","GM1949","Fryslân","PV21","Noord-Nederland","LD01"
"Achterveld","WP1063","Barneveld","GM0203","Gelderland","PV25","Oost-Nederland","LD02"
"Achterveld","WP2640","Leusden","GM0327","Utrecht","PV26","West-Nederland","LD03"
"Achthuizen","WP2131","Goeree-Overflakkee","GM1924","Zuid-Holland","PV28","West-Nederland","LD03"
"Achtmaal","WP3493","Zundert","GM0879","Noord-Brabant","PV30","Zuid-Nederland","LD04"
"Acquoy","WP3527","West Betuwe","GM1960","Gelderland","PV25","Oost-Nederland","LD02"
"Adorp","WP2464","Het Hogeland","GM1966","Groningen","PV20","Noord-Nederland","LD01"
"Aduard","WP2114","Westerkwartier","GM1969","Groningen","PV20","Noord-Nederland","LD01"
